                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.3017,                 1.4153,                 1.1157,                0.87411,                0.86876,                0.87472,                  0.444,                 1.9484,                   1.79,                  1.807,              0.0018891,              0.0018891,              0.0018891
                     59,                 1.3809,                 1.2052,                  1.101,                0.77516,                   0.75,                0.79843,                0.40173,                 1.8714,                 1.9647,                 1.7427,              0.0018871,              0.0018871,              0.0018871
                     60,                 1.4588,                 1.5922,                 1.1411,                0.97881,                  0.625,                0.76303,                0.44628,                 1.8327,                  1.946,                 1.6778,              0.0018852,              0.0018852,              0.0018852
                     61,                 1.1636,                 1.1821,                 1.0466,                0.97881,                  0.625,                0.76303,                0.44628,                 1.8327,                  1.946,                 1.6778,              0.0018832,              0.0018832,              0.0018832
                     62,                  1.421,                 1.3849,                 1.1981,                      1,                0.74048,                 0.8058,                0.44411,                 1.8017,                 2.0091,                 1.6306,              0.0018812,              0.0018812,              0.0018812
                     63,                 1.2882,                 1.8485,                 1.1427,                0.97912,                   0.75,                0.77327,                0.43608,                 1.6875,                 2.1327,                  1.527,              0.0018792,              0.0018792,              0.0018792
                     64,                 1.3838,                 1.3135,                 1.1045,                0.97884,                   0.75,                0.83286,                0.49133,                 1.6701,                  2.108,                 1.5011,              0.0018772,              0.0018772,              0.0018772
                     65,                 1.4074,                 1.5506,                 1.2188,                0.97884,                   0.75,                0.83286,                0.49133,                 1.6701,                  2.108,                 1.5011,              0.0018753,              0.0018753,              0.0018753
                     66,                 1.4296,                 1.3691,                 1.0964,                0.85784,                  0.875,                0.88784,                0.45275,                 1.6825,                 1.9038,                 1.5562,              0.0018733,              0.0018733,              0.0018733
                     67,                 1.3499,                 1.1799,                 1.0279,                0.94728,                   0.75,                0.85639,                 0.3989,                 1.6751,                 1.9631,                 1.5666,              0.0018713,              0.0018713,              0.0018713
                     68,                 1.3043,                 1.2362,                 1.0661,                0.97467,                  0.625,                0.73961,                0.45026,                 1.6063,                 2.1326,                 1.5071,              0.0018693,              0.0018693,              0.0018693
                     69,                 1.2677,                 1.1359,                 1.0847,                0.97467,                  0.625,                0.73961,                0.45026,                 1.6063,                 2.1326,                 1.5071,              0.0018673,              0.0018673,              0.0018673
                     70,                 1.6882,                 1.5125,                 1.3171,                      1,                0.73204,                0.81163,                0.48854,                 1.5159,                 2.2033,                 1.4169,              0.0018654,              0.0018654,              0.0018654
                     71,                  1.337,                 1.0927,                 1.0516,                0.94791,                   0.75,                0.80099,                0.47988,                 1.4437,                 2.6796,                 1.3945,              0.0018634,              0.0018634,              0.0018634
                     72,                 1.2322,                 1.1874,                 1.0552,                      1,                0.70992,                0.80141,                0.47308,                 1.5868,                 3.1061,                 1.5631,              0.0018614,              0.0018614,              0.0018614
                     73,                 1.1393,                 1.1404,                 1.1851,                      1,                0.70992,                0.80141,                0.47308,                 1.5868,                 3.1061,                 1.5631,              0.0018594,              0.0018594,              0.0018594
                     74,                 1.2396,                 1.0722,                 1.0107,                 0.9565,                  0.625,                0.75723,                0.48054,                 1.5553,                 2.7372,                 1.5917,              0.0018574,              0.0018574,              0.0018574
                     75,                 1.2096,                 1.0515,                 1.0716,                 0.9676,                  0.625,                0.70979,                0.45673,                 1.5691,                 2.0882,                  1.582,              0.0018555,              0.0018555,              0.0018555
                     76,                 1.2042,                 1.0281,                 1.0684,                0.96652,                  0.625,                 0.7088,                0.51934,                 1.5232,                 1.8539,                 1.5154,              0.0018535,              0.0018535,              0.0018535
                     77,                 1.2146,                 1.0675,                 1.0376,                0.96652,                  0.625,                 0.7088,                0.51934,                 1.5232,                 1.8539,                 1.5154,              0.0018515,              0.0018515,              0.0018515
                     78,                 1.2478,                  1.073,                 1.0982,                0.85548,                0.74126,                0.76044,                0.53241,                 1.4966,                 1.6869,                 1.4855,              0.0018495,              0.0018495,              0.0018495
                     79,                 1.1908,                 1.0446,                 1.0455,                0.83004,                   0.75,                0.78233,                0.54937,                 1.4358,                 1.6334,                 1.4286,              0.0018475,              0.0018475,              0.0018475
                     80,                 1.3344,                0.99348,                 1.0671,                0.85376,                0.73223,                0.80838,                0.52063,                 1.4458,                 1.4791,                 1.4237,              0.0018456,              0.0018456,              0.0018456
                     81,                 1.1533,                 1.0855,                   1.09,                0.85376,                0.73223,                0.80838,                0.52063,                 1.4458,                 1.4791,                 1.4237,              0.0018436,              0.0018436,              0.0018436
                     82,                 1.3041,                  1.071,                 1.0566,                0.81485,                  0.625,                0.69813,                0.43853,                 1.5992,                 1.4356,                 1.4802,              0.0018416,              0.0018416,              0.0018416
                     83,                 1.3653,                 1.1335,                 1.0549,                0.81174,                  0.625,                0.76333,                0.46803,                 1.5828,                 1.3641,                 1.4465,              0.0018396,              0.0018396,              0.0018396
                     84,                 1.2218,                 0.9954,                 1.1021,                0.84413,                   0.75,                0.76345,                0.53833,                 1.3568,                 1.2275,                 1.3128,              0.0018376,              0.0018376,              0.0018376
                     85,                 1.1388,                0.96289,                 1.0448,                0.84413,                   0.75,                0.76345,                0.53833,                 1.3568,                 1.2275,                 1.3128,              0.0018357,              0.0018357,              0.0018357
                     86,                 1.2625,                 1.0715,                 1.0794,                0.84638,                   0.75,                0.80401,                  0.522,                 1.3445,                 1.1177,                 1.3164,              0.0018337,              0.0018337,              0.0018337
                     87,                 1.1786,                0.95274,                 1.0775,                0.76353,                  0.875,                0.82149,                0.54276,                 1.4642,                 1.0462,                 1.4168,              0.0018317,              0.0018317,              0.0018317
                     88,                 1.0882,                0.90204,                 1.0207,                0.87052,                  0.875,                0.88375,                0.52344,                 1.6022,                 0.9995,                 1.5284,              0.0018297,              0.0018297,              0.0018297
                     89,                  1.119,                0.93534,                 1.0609,                0.87052,                  0.875,                0.88375,                0.52344,                 1.6022,                 0.9995,                 1.5284,              0.0018277,              0.0018277,              0.0018277
                     90,                 1.1171,                0.88881,                 1.0215,                0.86428,                  0.875,                0.87931,                0.48689,                 1.6454,                0.96414,                 1.5827,              0.0018258,              0.0018258,              0.0018258
                     91,                 1.0677,                0.89755,                 1.0201,                  0.864,                  0.875,                0.84159,                0.49226,                 1.5316,                0.93376,                 1.4902,              0.0018238,              0.0018238,              0.0018238
                     92,                 1.1139,                0.98552,                 1.1061,                0.87452,                0.87161,                0.85659,                0.49094,                 1.4951,                0.97667,                 1.4462,              0.0018218,              0.0018218,              0.0018218
                     93,                 1.0448,                0.88031,                 1.0264,                0.87452,                0.87161,                0.85659,                0.49094,                 1.4951,                0.97667,                 1.4462,              0.0018198,              0.0018198,              0.0018198
                     94,                 1.2129,                0.91368,                0.96517,                0.83817,                   0.75,                0.82025,                0.53217,                 1.3943,                0.99187,                 1.3534,              0.0018178,              0.0018178,              0.0018178
                     95,                 0.9929,                0.89819,                 1.0339,                0.73646,                   0.75,                 0.7746,                0.51135,                 1.3702,                 1.0424,                 1.3557,              0.0018159,              0.0018159,              0.0018159
                     96,                 1.0486,                0.80967,                0.98403,                0.73462,                   0.75,                0.75535,                0.48815,                 1.3514,                 1.1294,                 1.3547,              0.0018139,              0.0018139,              0.0018139
                     97,                0.90952,                0.88807,                0.96251,                0.73462,                   0.75,                0.75535,                0.48815,                 1.3514,                 1.1294,                 1.3547,              0.0018119,              0.0018119,              0.0018119
                     98,                 1.0829,                0.89502,                 1.0338,                0.85442,                0.73568,                0.80214,                 0.5187,                 1.3547,                 1.1862,                  1.345,              0.0018099,              0.0018099,              0.0018099
                     99,                 1.0506,                0.82859,                0.97873,                0.97139,                   0.75,                0.78965,                0.49876,                 1.3701,                 1.1164,                 1.3542,              0.0018079,              0.0018079,              0.0018079
                    100,                 1.0401,                0.77141,                0.99962,                0.96263,                   0.75,                0.81853,                0.47202,                 1.4952,                 1.1061,                 1.4308,               0.001806,               0.001806,               0.001806
                    101,                 1.3058,                 1.0842,                  1.071,                0.96263,                   0.75,                0.81853,                0.47202,                 1.4952,                 1.1061,                 1.4308,               0.001804,               0.001804,               0.001804
                    102,                   1.15,                0.85456,                0.98073,                0.99362,                   0.75,                 0.8486,                0.50928,                 1.6155,                 1.1263,                 1.4993,               0.001802,               0.001802,               0.001802
                    103,                 1.2204,                 0.8534,                 1.0346,                0.96886,                   0.75,                0.87921,                0.52961,                 1.6081,                 1.0695,                 1.5019,                 0.0018,                 0.0018,                 0.0018
                    104,                 1.2273,                0.89596,                0.99847,                 0.8511,                  0.875,                0.90928,                0.52339,                 1.5913,                  1.053,                 1.5235,               0.001798,               0.001798,               0.001798
                    105,                 1.3231,                0.87822,                 1.1203,                 0.8511,                  0.875,                0.90928,                0.52339,                 1.5913,                  1.053,                 1.5235,              0.0017961,              0.0017961,              0.0017961
